,PURCHASE ORDER,LINE #,WORK ORDER #,Work Date,Resource,Description,Bill Type,Quantity
0,4501097311,47,,"Sep 19, 2022",02061 - ATV KUBOTA 1100X C/W 6WA|,Usage of All Terrain Vehicle,Hourly - Standb,10.00
1,,,,,0559019 - TRUCK WATER-3500 GAL,|Usage of Truck Water 3000-4500,Hourly - Standb,10.00
2,,,,,058609 - TRUCK DUMP-INTERN. '08 7,Usage of Truck Tandem >20000,Hourly - Standb,5.00
3,,,,,05873 - DUMP TRUCK TANDEM 7400 |,Usage of Truck Tandem >20000,|Hourly - Standb,5.00
4,,,,,117005 - SWEEPER-PICK UP BOBCAT,Usage of Hydraulic Sweeper,Hourly - Workin,10.00
5,,,,,11708 - SWEEPER-PICK UP BOBCAT,|Usage of Hydraulic Sweeper,Hourly - Workin,10.00
6,,,,,359082 - TANK - FUEL 100 GALLON,Usage of Fuel Tank Slip <500 G,|Hourly - Workin,10.00
7,,,,,37008 - TRAILER-TRAILTECH HI-BOY,|Usage of Hiboy,Hourly - Workin,10.00
8,,,,,4013015 - GRADER JD 770G '13,Usage of Grader 180-239 HP,Hourly - Standb,10.00
9,,,,,41115 - EXCAVATOR-'11 JD 225DLC,Usage of Excavator Track 25 -,Hourly - Standb,10.00
10,,,,,45347 - TRACKSTEER TAKEUCHI TL1|,Usage of Track Skidsteer 2101-,Hourly - Standb,10.00
11,,,,,"4914002 - ANGLE BROOM 84"" - BOBC|",Usage of Attachments - Bobcat,Hourly - Workin,10.00
12,,,,,"491401 - ANGLE BROOM 84"" - BOBCA",Usage of Attachments - Bobcat,Hourly - Workin,10.00
13,,,,,497081 - GRAPPLE SKIDSTEER ATTA,Usage of Material Handling Acc,Hourly - Workin,10.00
14,,,,"Sep 20, 2022",02061 - ATV KUBOTA 1100X C/W,6WA|Usage of All Terrain Vehicle,Hourly - Standb,10.00
15,,,,,0500155 - '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Standb,2.50
16,,,,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Standb,10.00
17,,,,,117005 - SWEEPER-PICK UP BOBCAT,Usage of Hydraulic Sweeper,Hourly - Workin,10.00
18,,,,,11708 - SWEEPER-PICK UP BOBCAT,|Usage of Hydraulic Sweeper,Hourly - Workin,10.00
