,PURCHASE ORDER,LINE #,WORK ORDER #,Work Date,Resource,Description,Bill Type,Quantity
0,4501097311,24,6873399,"Sep 21, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
1,,,6873399,,0520152 - 1 TON '15 FORD F350 CC,C|Usage of Truck 1 Ton,Hourly - Workin,10.00
2,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
3,,,6873399,,4013015 - GRADER JD 770G '13,Usage of Grader 180-239 HP,Hourly - Workin,10.00
4,,,6873399,"Sep 22, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
5,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,5.00
6,,,6873399,"Sep 26, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
7,,,6873399,,0500225 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
8,,,6873399,,0520152 - 1 TON '15 FORD F350 CC,C|Usage of Truck 1 Ton,Hourly - Workin,10.00
9,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
10,,,6873399,,4013015 - GRADER JD 770G '13,Usage of Grader 180-239 HP,Hourly - Workin,10.00
11,,,6873399,"Sep 27, 2022",0500174 - '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
12,,,6873399,,0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
13,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
14,,,6873399,"Sep 28, 2022",0500155 - '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
15,,,6873399,,0500174 - '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
16,,,6873399,,0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
17,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
18,,,6873399,"Sep 29, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
19,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
20,,,6873399,"Oct 3, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
21,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
22,,,6873399,"Oct 4, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
23,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
24,,,6873399,"Oct 5, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
25,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
26,,,6873399,"Oct 6, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
27,,,6873399,,0520152 - 1 TON '15 FORD F350 CC,C|Usage of Truck 1 Ton,Hourly - Workin,10.00
28,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
29,,,6873399,,4013015 - GRADER JD 770G '13,Usage of Grader 180-239 HP,Hourly - Workin,10.00
30,,,6873399,"Oct 13, 2022",0500218 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
31,,,6873399,,0559019 - TRUCK WATER-3500 GAL,Usage of Truck Water 3000-4500,Hourly - Workin,10.00
