,PURCHASE ORDER,LINE #,WORK ORDER #,Work Date,Resource,Description,Bill Type,Quantity
0,4501097311,146,6909567,"Sep 14, 2022",411291 - EXCAVATOR-JD 250GLC,Usage of Excavator Track 25 -,Hourly - Workin,-10.00
1,,,6909567,"Sep 15, 2022",411291 - EXCAVATOR-JD 250GLC,Usage of Excavator Track 25 -,Hourly - Workin,-10.00
2,,,6909567,"Sep 19, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,10.00
3,,,6909567,,0500180 - 3/4 TON '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
4,,,6909567,,052012 - 1 TON '19 FORD F350 FLATD,Usage of Truck 1 Ton,Hourly - Workin,10.00
5,,,6909567,"Sep 20, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,10.00
6,,,6909567,,052012 - 1 TON '19 FORD F350 FLATD,Usage of Truck 1 Ton,Hourly - Workin,10.00
7,,,6909567,,411291 - EXCAVATOR-JD 250GLC,Usage of Excavator Track 25 -,Hourly - Workin,10.00
8,,,6909567,"Sep 21, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,5.00
9,,,6909567,,0500174 - '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
10,,,6909567,,052012 - 1 TON '19 FORD F350 FLATD,Usage of Truck 1 Ton,Hourly - Workin,5.00
11,,,6909567,"Sep 27, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,10.00
12,,,6909567,,0500155 - '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,5.00
13,,,6909567,"Oct 3, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,10.00
14,,,6909567,"Oct 4, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,10.00
15,,,6909567,,0500180 - 3/4 TON '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
16,,,6909567,"Oct 11, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,10.00
17,,,6909567,,0500180 - 3/4 TON '12 CHEV K2500,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
18,,,6909567,,0500225 - '13 CHEV K2500 CC,Usage of Truck Pickup 3/4 Ton,Hourly - Workin,10.00
19,,,6909567,,411291 - EXCAVATOR-JD 250GLC,Usage of Excavator Track 25 -,Hourly - Workin,10.00
20,,,6909567,"Oct 12, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,2.00
21,,,6909567,,052012 - 1 TON '19 FORD F350 FLATD,Usage of Truck 1 Ton,Hourly - Workin,10.00
22,,,6909567,,0520152 - 1 TON '15 FORD F350 CC,C|Usage of Truck 1 Ton,Hourly - Workin,10.00
23,,,6909567,,411291 - EXCAVATOR-JD 250GLC,Usage of Excavator Track 25 -,Hourly - Workin,10.00
24,,,6909567,"Oct 13, 2022",03578 - 1/2 TON '11 CHEV K1500 CC,Usage of Truck Pickup 1/2 Ton,Hourly - Workin,5.00
